Sample_ID,Depth(m),Age(Ma),Sz,Sz_std,Xlf,d13Cc,d18Oc,d13Co,R,R_std,CO2_ice,aFe,aSi,aAl,fFe,aFe_std,aSi_std,aAl_std,fFe_std,aFe/aSi,aFe/aAl,aSi/aAl,aFe/fFe,aSi/fFe,aAl/fFe,aFe/aSi_std,aFe/aAl_std,aSi/aAl_std,aFe/fFe_std,aSi/fFe_std,aAl/fFe_std,CO2,CO2_std,D,D_std
FX_18_1_32,26.98,0.298150685,448.5679214,63.86525991,36.6,-6.444502606,-9.47531999,-22.849,0.485552532,0.069130977,217.80329,0.08769,0.06848,0.086055,1.11468,0.00290735,0.004942415,0.003395927,0.055663446,1.282062432,1.019114588,0.796383182,0.078791698,0.061863173,0.077386842,0.103140507,0.051601091,0.068208191,0.00460856,0.005389829,0.004894824,213.6869336,4.068710905,26.42966667,0.048911485
FX_19_1_108,30.24,0.344365741,408.8726022,58.23516865,35,-6.677052035,-9.957190766,-23.077,0.511600799,0.072866606,209.17955,0.080445,0.062135,0.087815,1.08748,0.002922307,0.004963589,0.003410286,0.052439039,1.306803945,0.917828867,0.709935532,0.073951923,0.05737694,0.080751764,0.117715559,0.049632293,0.061230662,0.004318501,0.005190862,0.004938026,197.648626,2.590225416,29.03766667,0.193414925
FX_19_2_58,31.24,0.352930556,408.6529739,59.8415157,52,-6.978453941,-9.813357697,-23.651,0.512025492,0.074978976,209.24074,0.10131,0.077,0.104655,1.17704,0.002934191,0.004965534,0.003425876,0.008287291,1.320993172,0.969101726,0.73611279,0.085898717,0.065179931,0.088844593,0.092028294,0.04289065,0.052927099,0.002580192,0.004270565,0.002777717,217.4563195,3.010031114,25.37166667,0.416766521
FX_20_0_60,32.28,0.361837963,422.039919,63.74728398,36.6,-6.739227204,-10.03936031,-22.964,0.476946163,0.072040632,201.29032,0.099845,0.085485,0.104635,1.13582,0.002929076,0.0049706,0.003406525,0.080072772,1.174463758,0.955341058,0.819831794,0.088241658,0.075927886,0.092581119,0.078184485,0.042679854,0.054608625,0.006749253,0.007042992,0.006922946,184.5275407,2.520597279,23.123,0.066022723
FX_21_1_64,33.32,0.37074537,530.0832494,76.15394241,60.5,-7.50319567,-10.95937338,-23.652,0.411324316,0.059092545,218.03613,0.129445,0.10232,0.122885,1.35259,0.002929715,0.004980153,0.003396559,0.030278312,1.270745918,1.052361377,0.832352246,0.095755991,0.075842335,0.091115579,0.067621552,0.035895582,0.04653562,0.00299044,0.004246566,0.003253215,203.6497727,3.331591299,19.778,0.069763888
FX_23_1_46,37.02,0.434309091,444.8174928,70.67891666,58.5,-6.998171414,-10.64058129,-22.863,0.447623853,0.071124831,199.11092,0.099995,0.0851,0.1172,1.24126,0.002919448,0.004949536,0.003375782,0.04152131,1.175427785,0.853593879,0.728320332,0.080590542,0.068655984,0.094589745,0.078000899,0.035217264,0.045940905,0.003643312,0.00460623,0.00401483,207.9682697,1.159709824,24.88033333,0.128219863
FX_23_1_100,37.56,0.438727273,353.5567764,46.85699113,34.4,-6.366545283,-9.728276766,-23.023,0.579072001,0.076744595,204.73483,0.063715,0.056505,0.072135,1.01473,0.002920409,0.00494001,0.003345987,0.011101576,1.144704802,0.885312704,0.786871346,0.062797994,0.055675976,0.071201694,0.117943007,0.056958532,0.080140012,0.00291719,0.00491157,0.003297921,201.270289,1.454965376,25.63133333,0.119692662
FX_23_2_70,38.74,0.448381818,432.0316417,63.90118605,45.9,-7.048503228,-9.67046193,-23.176,0.467966048,0.069216193,202.17614,0.088035,0.074055,0.09735,1.25871,0.002932143,0.0049439,0.003338282,0.039583838,1.194506937,0.906121422,0.759464062,0.070025959,0.059024042,0.077229914,0.08671012,0.044097774,0.055515797,0.003250839,0.004356111,0.003570829,203.1629559,0.609153088,23.27666667,0.232674307
FX_24_1_110,40.14,0.459836364,464.5910171,74.29656592,55.8,-7.329914646,-10.31576157,-23.222,0.415952812,0.066518431,193.24794,0.10825,0.08656,0.110385,1.27204,0.002935333,0.004958948,0.003329242,0.054305801,1.253776054,0.982593874,0.78252979,0.085286644,0.068145599,0.086898102,0.083427435,0.040003901,0.051323214,0.004489112,0.004843696,0.004262338,207.0436579,1.414804108,21.06533333,0.119525451
FX_24_2_60,41.14,0.468018182,475.1437251,67.27694695,45.8,-7.089358172,-9.926200981,-23.454,0.433662488,0.061403501,206.05201,0.1021,0.085115,0.105005,1.21344,0.002950089,0.004958468,0.00333833,0.111044049,1.203077046,0.972291279,0.811290294,0.085420356,0.070777719,0.087904433,0.079753526,0.041629442,0.053297466,0.008508847,0.008081465,0.008882395,203.7747433,1.694925415,25.322,0.201313189
